English,Punjabi,Time
akhree likhan bolan baan.,AKrI ilKxu bolxu bwix ],563
akhraa sir sanjog vakhaan.,AKrw isir sMjogu vKwix ],567
jin ayhi likhay tis sir naahi.,ijin eyih ilKy iqsu isir nwih ],569
jiv furmaa-ay tiv tiv paahi.,ijv Purmwey iqv iqv pwih ],573
jaytaa keetaa taytaa naa-o.,jyqw kIqw qyqw nwau ],576
vin naavai naahee ko thaa-o.,ivxu nwvY nwhI ko Qwau ],580
kudrat kavan kahaa veechaar.,kudriq kvx khw vIcwru ],585
vaari-aa na jaavaa ayk vaar.,vwirAw n jwvw eyk vwr ],588
jo tuDh bhaavai saa-ee bhalee kaar.,jo quDu BwvY sweI BlI kwr ],592
too sadaa salaamat nirankaar. ||19||,qU sdw slwmiq inrMkwr ]19],596
bharee-ai hath pair tan dayh.,BrIAY hQu pYru qnu dyh ],600
paanee Dhotai utras khayh.,pwxI DoqY auqrsu Kyh ],602
moot paleetee kaparh ho-ay.,mUq plIqI kpVu hoie ],604
day saaboon la-ee-ai oh Dho-ay.,dy swbUxu leIAY Ehu Doie ],607
bharee-ai mat paapaa kai sang.,BrIAY miq pwpw kY sMig ],611
oh Dhopai naavai kai rang.,Ehu DopY nwvY kY rMig ],614
punnee paapee aakhan naahi.,puMnI pwpI AwKxu nwih ],617
kar kar karnaa likh lai jaahu.,kir kir krxw iliK lY jwhu ],620
aapay beej aapay hee khaahu.,Awpy bIij Awpy hI Kwhu ],622
naanak hukmee aavhu jaahu. ||20||,nwnk hukmI Awvhu jwhu ]20],627
tirath tap da-i-aa dat daan.,qIrQu qpu dieAw dqu dwnu ],631
jay ko paavai til kaa maan.,jy ko pwvY iql kw mwnu ],634
suni-aa mani-aa man keetaa bhaa-o.,suixAw mMinAw min kIqw Bwau ],636
antargat tirath mal naa-o.,AMqrgiq qIriQ mil nwau ],640
sabh gun tayray mai naahee ko-ay.,siB gux qyry mY nwhI koie ],644
vin gun keetay bhagat na ho-ay.,ivxu gux kIqy Bgiq n hoie ],647
su-asat aath banee barmaa-o.,suAsiq AwiQ bwxI brmwau ],649
sat suhaan sadaa man chaa-o.,siq suhwxu sdw min cwau ],652
kavan so vaylaa vakhat kavan kavan thit kavan vaar.,kvxu su vylw vKqu kvxu kvx iQiq kvxu vwru ],655
kavan se rutee maahu kavan jit ho-aa aakaar.,kvix is ruqI mwhu kvxu ijqu hoAw Awkwru ],660
vayl na paa-ee-aa pandtee je hovai laykh puraan.,vyl n pweIAw pMfqI ij hovY lyKu purwxu ],664
vakhat na paa-i-o kaadee-aa je likhan laykh kuraan.,vKqu n pwieE kwdIAw ij ilKin lyKu kurwxu ],670
thit vaar naa jogee jaanai rut maahu naa ko-ee.,iQiq vwru nw jogI jwxY ruiq mwhu nw koeI ],676
jaa kartaa sirthee ka-o saajay aapay jaanai so-ee.,jw krqw isrTI kau swjy Awpy jwxY soeI ],680
kiv kar aakhaa kiv saalaahee ki-o varnee kiv jaanaa.,ikv kir AwKw ikv swlwhI ikau vrnI ikv jwxw ],684
naanak aakhan sabh ko aakhai ik doo ik si-aanaa.,nwnk AwKix sBu ko AwKY iek dU ieku isAwxw ],690
vadaa saahib vadee naa-ee keetaa jaa kaa hovai.,vfw swihbu vfI nweI kIqw jw kw hovY ],695
naanak jay ko aapou jaanai agai ga-i-aa na sohai. ||21||,nwnk jy ko AwpO jwxY AgY gieAw n sohY ]21],701
paataalaa paataal lakh aagaasaa aagaas.,pwqwlw pwqwl lK Awgwsw Awgws ],707
orhak orhak bhaal thakay vayd kahan ik vaat.,EVk EVk Bwil Qky vyd khin iek vwq ],712
sahas athaarah kahan kataybaa asuloo ik Dhaat.,shs ATwrh khin kqybw AsulU ieku Dwqu ],716
laykhaa ho-ay ta likee-ai laykhai ho-ay vinaas.,lyKw hoie q ilKIAY lyKY hoie ivxwsu ],719
naanak vadaa aakhee-ai aapay jaanai aap. ||22||,nwnk vfw AwKIAY Awpy jwxY Awpu ]22],727
saalaahee saalaahi aytee surat na paa-ee-aa.,swlwhI swlwih eyqI suriq n pweIAw ],732
nadee-aa atai vaah pavahi samund na jaanee-ahi.,ndIAw AqY vwh pvih smuMid n jwxIAih ],737
samund saah sultaan girhaa saytee maal Dhan.,smuMd swh sulqwn igrhw syqI mwlu Dnu ],741
keerhee tul na hovnee jay tis manhu na veesrahi. ||23||,kIVI quil n hovnI jy iqsu mnhu n vIsrih ]23],745
ant na siftee kahan na ant.,AMqu n isPqI khix n AMqu ],749
ant na karnai dayn na ant.,AMqu n krxY dyix n AMqu ],752
ant na vaykhan sunan na ant.,AMqu n vyKix suxix n AMqu ],755
ant na jaapai ki-aa man mant.,AMqu n jwpY ikAw min mMqu ],758
ant na jaapai keetaa aakaar.,AMqu n jwpY kIqw Awkwru ],760
ant na jaapai paaraavaar.,AMqu n jwpY pwrwvwru ],763
ant kaaran kaytay billaahi.,AMq kwrix kyqy ibllwih ],766
taa kay ant na paa-ay jaahi.,qw ky AMq n pwey jwih ],769
ayhu ant na jaanai ko-ay.,eyhu AMqu n jwxY koie ],772
bahutaa kahee-ai bahutaa ho-ay.,bhuqw khIAY bhuqw hoie ],776
vadaa saahib oochaa thaa-o.,vfw swihbu aUcw Qwau ],779
oochay upar oochaa naa-o.,aUcy aupir aUcw nwau ],781
ayvad oochaa hovai ko-ay.,eyvfu aUcw hovY koie ],784
tis oochay ka-o jaanai so-ay.,iqsu aUcy kau jwxY soie ],786
jayvad aap jaanai aap aap.,jyvfu Awip jwxY Awip Awip ],790
naanak nadree karmee daat. ||24||,nwnk ndrI krmI dwiq ]24],794
bahutaa karam likhi-aa naa jaa-ay.,bhuqw krmu iliKAw nw jwie ],796
vadaa daataa til na tamaa-ay.,vfw dwqw iqlu n qmwie ],799
kaytay mangahi joDh apaar.,kyqy mMgih joD Apwr ],802
kayti-aa ganat nahee veechaar.,kyiqAw gxq nhI vIcwru ],804
kaytay khap tutahi vaykaar.,kyqy Kip qutih vykwr ],808
kaytay lai lai mukar paahi.,kyqy lY lY mukru pwih ],811
kaytay moorakh khaahee khaahi.,kyqy mUrK KwhI Kwih ],813
kayti-aa dookh bhookh sad maar.,kyiqAw dUK BUK sd mwr ],816
ayhi bhe daat tayree daataar.,eyih iB dwiq qyrI dwqwr ],820
band khalaasee bhaanai ho-ay.,bMid KlwsI BwxY hoie ],823
hor aakh na sakai ko-ay.,horu AwiK n skY koie ],826
jay ko khaa-ik aakhan paa-ay.,jy ko Kwieku AwKix pwie ],828
oh jaanai jaytee-aa muhi khaa-ay.,Ehu jwxY jyqIAw muih Kwie ],831
aapay jaanai aapay day-ay.,Awpy jwxY Awpy dyie ],834
aakhahi se bhe kay-ee kay-ay.,AwKih is iB kyeI kyie ],837
jis no bakhsay sifat saalaah.,ijs no bKsy isPiq swlwh ],840
naanak paatisaahee paatisaahu. ||25||,nwnk pwiqswhI pwiqswhu ]25],844
amul gun amul vaapaar.,Amul gux Amul vwpwr ],847
amul vaapaaree-ay amul bhandaar.,Amul vwpwrIey Amul BMfwr ],849
amul aavahi amul lai jaahi.,Amul Awvih Amul lY jwih ],851
amul bhaa-ay amulaa samaahi.,Amul Bwie Amulw smwih ],854
amul Dharam amul deebaan.,Amulu Drmu Amulu dIbwxu ],856
amul tul amul parvaan.,Amulu qulu Amulu prvwxu ],858
amul bakhsees amul neesaan.,Amulu bKsIs Amulu nIswxu ],862
amul karam amul furmaan.,Amulu krmu Amulu Purmwxu ],863
amulo amul aakhi-aa na jaa-ay.,Amulo Amulu AwiKAw n jwie ],865
aakh aakh rahay liv laa-ay.,AwiK AwiK rhy ilv lwie ],868
aakhahi vayd paath puraan.,AwKih vyd pwT purwx ],870
aakhahi parhay karahi vakhi-aan.,AwKih pVy krih viKAwx ],874
aakhahi barmay aakhahi ind.,AwKih brmy AwKih ieMd ],876
aakhahi gopee tai govind.,AwKih gopI qY goivMd ],879
aakhahi eesar aakhahi siDh.,AwKih eIsr AwKih isD ],881
aakhahi kaytay keetay buDh.,AwKih kyqy kIqy buD ],883
aakhahi daanav aakhahi dayv.,AwKih dwnv AwKih dyv ],885
aakhahi sur nar mun jan sayv.,AwKih suir nr muin jn syv ],888
kaytay aakhahi aakhan paahi.,kyqy AwKih AwKix pwih ],890
kaytay kahi kahi uth uth jaahi.,kyqy kih kih auiT auiT jwih ],893
aytay keetay hor karayhi.,eyqy kIqy hoir kryih ],895
taa aakh na sakahi kay-ee kay-ay.,qw AwiK n skih kyeI kyie ],899
jayvad bhaavai tayvad ho-ay.,jyvfu BwvY qyvfu hoie ],902
naanak jaanai saachaa so-ay.,nwnk jwxY swcw soie ],905
jay ko aakhai boluvigaarh.,jy ko AwKY boluivgwVu ],908
taa likee-ai sir gaavaaraa gaavaar. ||26||,qw ilKIAY isir gwvwrw gwvwru ]26],912
so dar kayhaa so ghar kayhaa jit bahi sarab samaalay.,so dru kyhw so Gru kyhw ijqu bih srb smwly ],915
vaajay naad anayk asankhaa kaytay vaavanhaaray.,vwjy nwd Anyk AsMKw kyqy vwvxhwry ],919
