English,Punjabi
tis tay ho-ay lakh daree-aa-o., iqs qy hoey lK drIAwau ] 
kudrat kavan kahaa veechaar., kudriq kvx khw vIcwru ] 
vaari-aa na jaavaa ayk vaar., vwirAw n jwvw eyk vwr ] 
jo tuDh bhaavai saa-ee bhalee kaar., jo quDu BwvY sweI BlI kwr ] 
too sadaa salaamat nirankaar. ||16||, qU sdw slwmiq inrMkwr ]16] 
asaNkh jap asaNkh bhaa-o., AsMK jp AsMK Bwau ] 
asaNkh poojaa asaNkh tap taa-o., AsMK pUjw AsMK qp qwau ] 
asaNkh garanth mukh vayd paath., AsMK grMQ muiK vyd pwT ] 
asaNkh jog man rahahi udaas., AsMK jog min rhih audws ] 
asaNkh bhagat gun gi-aan veechaar., AsMK Bgq gux igAwn vIcwr ] 
asaNkh satee asaNkh daataar., AsMK sqI AsMK dwqwr ] 
asaNkh soor muh bhakh saar., AsMK sUr muh BK swr ] 
asaNkh mon liv laa-ay taar., AsMK moin ilv lwie qwr ] 
kudrat kavan kahaa veechaar., kudriq kvx khw vIcwru ] 
vaari-aa na jaavaa ayk vaar., vwirAw n jwvw eyk vwr ] 
jo tuDh bhaavai saa-ee bhalee kaar., jo quDu BwvY sweI BlI kwr ] 
too sadaa salaamat nirankaar. ||17||, qU sdw slwmiq inrMkwr ]17] 
asaNkh moorakh anDh ghor., AsMK mUrK AMD Gor ] 
asaNkh chor haraamkhor., AsMK cor hrwmKor ] 
asaNkh amar kar jaahi jor., AsMK Amr kir jwih jor ] 
asaNkh galvadh hati-aa kamaahi., AsMK glvF hiqAw kmwih ] 
asaNkh paapee paap kar jaahi., AsMK pwpI pwpu kir jwih ] 
asaNkh koorhi-aar koorhay firaahi., AsMK kUiVAwr kUVy iPrwih ] 
asaNkh malaychh mal bhakh khaahi., AsMK mlyC mlu BiK Kwih ] 
asaNkh nindak sir karahi bhaar., AsMK inMdk isir krih Bwru ] 
naanak neech kahai veechaar., nwnku nIcu khY vIcwru ] 
vaari-aa na jaavaa ayk vaar., vwirAw n jwvw eyk vwr ] 
jo tuDh bhaavai saa-ee bhalee kaar., jo quDu BwvY sweI BlI kwr ] 
too sadaa salaamat nirankaar. ||18||, qU sdw slwmiq inrMkwr ]18] 
asaNkh naav asaNkh thaav., AsMK nwv AsMK Qwv ] 
agamm agamm asaNkh lo-a., AgMm AgMm AsMK loA ] 
