English,Punjabi
"sarb maun, sarbatar maun, sdev manat taeh",srb mwn srb`qR mwn sdYv mwnq qwih ]
"aik moorat anaik darsan, keen roop anaik",eyk mUriq Anyk drsn kIn rUp Anyk ]
"khail khaile, akhail khailun, aunt ko phir aik. (81) ",Kyl Kyl AKyl Kyln AMq ko iPr eyk ]81]
dev bhive na janhi jeh baid aur kataib.,dyv Byv n jwnhI ijh byd Aaur kqyb ]
roop rung na jati pati so janhi keh jaib,rUp rMg n jwiq pwiq su jwneI ikh jyb ]
tat mat na jati jakar jnam mran beheen,qwq mwq n jwq jwkir jnm mrn ibhIn ]
chakar bakar phirai chatur chak manhi pur teen. (82) ,c`k® b`k® iPrY cqR` c`k mwnhI pur qIn ]82]
lok chaudah kai bikhai jug japhi jeh japu.,lok caudh ky ibKY jg jwphI ijh jwp ]
adi dev anadi mooret thapio sabai jeh thap.,Awid dyv Anwid mUriq QwipE sbY ijh Qwp ]
parm roop pooneet mooret pooran purkh apar.,prm rUp punIq mUriq pUrn purKu Apwr ]
sarb bisv rachio soyunbhv garhan bhunjnhar. (83). ,srb ibsÍ ricE suXMBv gVn BMjnhwr ]83]
kal heen kla sunjugat akal purkh adais.,kwl hIn klw sMjugiq Akwl purK Adys ]
dharam dham so bharm rehat abhoot alakh abhais.,Drm Dwm su Brm rihq ABUq AlK ABys ]
aung rag na rung jakeh jati pati na nam.,AMg rwg n rMg jwkh jwiq pwiq n nwm ]
garb gunjan dust bhunjan mukat daeik kam. (84) ,grb gMjn dust BMjn mukiq dwiek kwm ]84]
aap roop ameek an-ostat aik purkh avdhoot,Awp rUp AmIk An ausqiq eyk purK AvDUq ]
garb ganjan sarb bhanjan adi roop asoot,grb gMjn srb BMjn Awid rUp AsUq ]
aung heen abhung anatam aik purkh apar,AMg hIn ABMg Anwqm eyk purK Apwr ]
sarb laeik sarb ghaeik sarb ko pritpar. (85) ,srb lwiek srb Gwiek srb ko pRiqpwr ]85]
Sarab ganta sarab hanta saran tey anbhekh,srb gMqw srb hMqw srb qy AnByK ]
sarab sastak na jaa nahi je roop rang ar rekh,srb swsqR n jwnhI ijh rUp rMg Aru ryK ]
param bedh puraan jakh net bhakhat nit,prm byd purwx jwkih nyq BwKq in`q ]
kot simrat puraan sastak na aawaiye va chit (86),koit isMimRiq purwn swsqR n AwveI vhu ic`iq ]86]
MUDHBHAR CHHUND. TAV PARSAD (BY YOUR GRACE),mDuBwr CMd ] qÍ pRswid ]
"gun gan oodar, mehma apar.",gun gn audwr ] mihmw Apwr ]
"aasan abhung, oopma anung. (87) ",Awsn ABMg ] aupmw Anµg ]87]
"anbhav parkas, nis din anas.",AnBau pRkws ] insidn Anws ]
"aajan baho, shahan shah. (88) ",Awjwn bwhu ] swhwn swhu ]88]
"rajan raj, bhanan bhanu.",rwjwn rwj ] Bwnwn Bwn ]
"daivan dev, oopma mahan. (89) ",dyvwn dyv ] aupmw mhwn ]89]
"indran inder, balan bal,",ieMdRwn ieMdR ] bwlwn bwl ]
" runkan runk, kalan kal. (90) ",rMkwn rMk ] kwlwn kwl ]90]
"anbhoot aung, aabha abhung,",AnBUq AMg ] AwBw ABMg ]
" kati mit apar, gun gan oodar. (91) ",giq imiq Apwr ] gun gn audwr ]91]
