English,Punjabi
,Awid AnIl Anwid AsMB ] 
,qw kw mUVH aucwrq Bydw ] 
,jw kO Byv n pwvq bydw ]15]
,qw kO kir pwhn Anumwnq ] 
,mhw mUVH kCu Byd n jwnq ]
,mhwdyv kO khq sdw isv ] 
,inrMkwr kw cInq nih iBv ]16]
,Awpu AwpnI buiD hY jyqI ]
,brnq iBMn iBMn quih qyqI ] 
,qumrw lKw n jwie pswrw ]
,ikh ibiD sjw pRQm sMswrw ]17]
,eykY rUp AnUp srUpw ] 
,rMk BXo rwv khI BUpw ]
,AMfj jyrj syqj kInI ]
,auqBuj Kwin bhur ric dInI ]18]
,khUM PUl rwjw hÍY bYTw ]
,khUM ismit iBÎo sMkr iekYTw ]
,sgrI isRsit idKwie AcMBv ]
,Awid jugwid srUp suXMBv ]19]
,Ab r`Cw myrI qum kro ]
,is`K aubwir Ais`K sMGro ]
,duSt ijqy auTvq auqpwqw ] 
,skl mlyC kro rx Gwqw ]20]
,jy AisDuj qv srnI pry ]
,iqn ky duSt duiKq hÍY mry ]
,purK jvn pg pry iqhwry ] 
,iqn ky qum sMkt sB twry ]21]
,jo kil ko iek bwr iDAY hY ]
,qw ky kwl inkit nih AYhY ]
,r`Cw hoie qwih sB kwlw ]
,dust Airst tryN qqkwlw ]22]
,ik®pw idRsit qn jwih inhirho ] 
,qw ky qwp qnk mo hirho ]
,ir`iD is`iD Gr mo sB hoeI ] 
,duSt Cwh CÍY skY n koeI ]23]
,eyk bwr ijn qumY sMBwrw ]
,kwl Pws qy qwih aubwrw ]
,ijn nr nwm iqhwro khw ] 
,dwird dust doK qy rhw ]24]
,KVg kyq mY srix iqhwrI ] 
,Awp hwQ dY lyhu aubwrI ]
,srb TOr mo hohu shweI ] 
,dust doK qy lyh bcweI ]25]
,ikRpw krI hm pr jg mwqw ]
,gRMQ krw pUrn suB rwqw ]
,iklibK skl dyh ko hrqw ] 
,dust doiKXn ko Cy krqw ]26]
,sRI AisDuj jb Bey dieAwlw ] 
,pUrn krw gRMQ qqkwlw ]
,mn bWCq Pl pwvY soeI ]
,dUK n iqsY ibAwpq koeI ]27]
,AiV`l ]
,SunY guMg jo Xwih su rsnw pwveI ] 
,sunY mUV icq lwie cqurqw AwveI ] 
,dUK drd BO inkt n iqn nr ky rhY ]
,ho jo XwkI eyk bwr cOpeI ko khY ]28]
,cOpeI ]
,sMbq s`qRh shs Bix`jY ] 
,ArD shs Puin qIin kih`jY ] 
,BwdRv sudI AstmI riv vwrw ] 
,qIr squ`dRv gRMQ suDwrw ]29]
,svYXw
,pwie ghy jb qy qumry qb qy koaU AWK qry nhI AwnXo ]
,rwm rhIm purwn kurwn Anyk khYN mq eyk n mwnXo ]
